,Name,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,averageSnowfall,AdultWeekday,AdultWeekend
141,Blacktail Mountain Ski Area,1,2,1,4,27.0,,0.7,1000.0,,250.0,42.0,42.0
142,Bridger Bowl,6,1,3,11,105.0,2.0,1.5,2000.0,100.0,350.0,63.0,63.0
143,Discovery Ski Area,5,2,1,8,74.0,1.0,1.5,2400.0,25.0,225.0,49.0,49.0
144,Great Divide,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,180.0,48.0,48.0
145,Lost Trail - Powder Mtn,0,5,3,8,69.0,2.0,2.5,1800.0,,325.0,46.0,46.0
146,Maverick Mountain,0,1,1,2,22.0,,1.3,255.0,,160.0,39.0,39.0
147,Montana Snowbowl,0,2,2,4,37.0,,1.2,950.0,20.0,300.0,50.0,50.0
148,Red Lodge Mountain,1,3,1,7,70.0,2.0,2.5,1635.0,496.0,250.0,67.0,67.0
149,Showdown Montana,1,2,1,4,36.0,1.0,1.8,640.0,,250.0,47.0,47.0
150,Teton Pass Ski Resort,0,1,2,3,43.0,1.0,3.0,330.0,,250.0,39.0,39.0
151,Whitefish Mountain Resort,6,0,3,14,105.0,4.0,3.3,3000.0,600.0,333.0,81.0,81.0
